"target_table","source_column","source_type","target_column","target_type","transform_rule","casing_type","include_flag","required_flag","default_value","key_role","notes"
"__common_keys__","base_uwi","text","base_uwi","text","copy_or_cast","","Y","Y","","common_key","Script should automatically include these columns in each split table."
"__common_keys__","import_timestamp","text","import_timestamp","text","copy_or_cast","","Y","Y","","lineage","Script should automatically include these columns in each split table."
"__common_keys__","raw_id","bigint","raw_id","bigint","copy_or_cast","","Y","Y","","lineage","Script should automatically include these columns in each split table."
"__common_keys__","source_file","text","source_file","text","copy_or_cast","","Y","Y","","lineage","Script should automatically include these columns in each split table."
"__common_keys__","suffix","text","suffix","text","copy_or_cast","","Y","Y","","common_key","Script should automatically include these columns in each split table."
"__common_keys__","user_format_well_id","text","user_format_well_id","text","copy_or_cast","","Y","Y","","common_key","Script should automatically include these columns in each split table."
"well_header","area","text","area","text","trim_text","","Y","N","","attribute",""
"well_status","cur_operator_code","text","cur_operator_code","text","trim_text","","Y","N","","attribute",""
"well_status","cur_operator_name","text","cur_operator_name","text","trim_text","","Y","N","","attribute",""
"well_status","lahee_class_code","text","lahee_class_code","text","trim_text","","Y","N","","attribute",""
"well_status","lic_subs_well_obj","text","lic_subs_well_obj","text","trim_text","","Y","N","","attribute",""
"well_status","lic_wa_wid_permit","text","lic_wa_wid_permit","text","trim_text","","Y","N","","attribute",""
"well_status","org_operator_name","text","org_operator_name","text","trim_text","","Y","N","","attribute",""
"well_status","orig_operator_code","text","orig_operator_code","text","trim_text","","Y","N","","attribute",""
"well_status","orig_units_m_api","text","orig_units_m_api","text","trim_text","","Y","N","","attribute",""
"well_header","well_name","text","well_name","text","trim_text","","Y","N","","attribute",""
"well_status","well_pad_id","text","well_pad_id","text","trim_text","","Y","N","","attribute",""
"well_status","well_type","text","well_type","text","trim_text","","Y","N","","attribute",""
"well_status","","text","Permit_id","text","trim_text","","Y","N","","attribute",""
"well_status","d13_compliance_status","text","d13_compliance_status","text","trim_text","","Y","N","","attribute",""
"well_status","inactive_status_date","text","inactive_status_date","date","to_date_or_null({source_column})","","Y","N","","attribute",""
"well_status","inactive_well","text","inactive_well","boolean","tf_yn_to_boolean({source_column})","","Y","N","","attribute",""
"well_status","industry_reported_suspension_date","text","industry_reported_suspension_date","date","to_date_or_null({source_column})","","Y","N","","attribute",""
"well_status","inspection_date","text","inspection_date","date","to_date_or_null({source_column})","","Y","N","","attribute",""
"well_status","iwcp","text","iwcp","boolean","tf_yn_to_boolean({source_column})","","Y","N","","attribute",""
"well_status","last_reported_downhole_operation","text","last_reported_downhole_operation","text","trim_text","","Y","N","","attribute",""
"well_status","next_inspection_due","text","next_inspection_due","date","to_date_or_null({source_column})","","Y","N","","attribute",""
"well_status","noncompliance_details","text","noncompliance_details","text","trim_text","","Y","N","","attribute",""
"well_status","orphan_abd_status","text","orphan_abd_status","text","trim_text","","Y","N","","attribute",""
"well_status","orphan_rec_status","text","orphan_rec_status","text","trim_text","","Y","N","","attribute",""
"well_status","owa_cost_area","text","owa_cost_area","text","trim_text","","Y","N","","attribute",""
"well_status","reclamation_certificate","text","reclamation_certificate","text","trim_text","","Y","N","","attribute",""
"well_status","reported_risk_class","text","reported_risk_class","text","trim_text","","Y","N","","attribute",""
